id,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Card_image,Full_image
78,"Grand Theft Auto IV",PS3,2008,Action,"Rockstar Games  ","Rockstar North  ",10,9,4.79,3.73,0.44,1.62,10.57,https://www.vgchartz.com/games/boxart/full_1729769AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/grand-theft-auto-iv_banner58.png
79,"Super Mario All-Stars",SNES,1993,Platform,"Nintendo  ","Nintendo EAD  ",0,9.5,5.99,2.15,2.12,0.29,10.55,https://www.vgchartz.com/games/boxart/8836826ccc.jpg,https://www.vgchartz.com/games/banners/super-mario-all-stars_banner12.png
80,"Call of Duty: Ghosts",X360,2013,Shooter,"Activision  ","Infinity Ward  ",6.9,0,6.76,2.64,0.04,0.98,10.41,https://www.vgchartz.com/games/boxart/full_8522439AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/603125671508ccc.jpg
81,"Call of Duty: Ghosts",PS3,2013,Shooter,"Activision  ","Infinity Ward  ",7.5,0,4.11,4.01,0.39,1.62,10.13,https://www.vgchartz.com/games/boxart/full_3698558AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/604844071507ccc.jpg
82,"Horizon: Zero Dawn",PS4,2017,Action-Adventure,"Sony Interactive Entertainment  ","Guerrilla Games  ",9.1,8,2.2,2.43,0.28,0.92,5.82,https://www.vgchartz.com/games/boxart/full_719511AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/325223285674ccc.jpg
83,"Halo: Reach",X360,2010,Shooter,"Microsoft Game Studios  ","Bungie  ",9.3,0,7.08,2.01,0.08,0.8,9.97,https://www.vgchartz.com/games/boxart/full_halo-reach_6AmericaFront.jpg,https://www.vgchartz.com/games/banners/halo-reach_banner48.png
84,"Halo 4",X360,2012,Shooter,"Microsoft Studios  ","343 Industries  ",0,0,6.72,2.36,0.04,0.83,9.96,https://www.vgchartz.com/games/boxart/full_2236292AmericaFrontccc.png,https://www.vgchartz.com/games/banners/halo-4_banner9.png
85,"Final Fantasy VII",PS,1997,Role-Playing,"Sony Computer Entertainment  ","SquareSoft  ",9.6,9.5,3.01,2.47,3.28,0.96,9.72,https://www.vgchartz.com/games/boxart/1190945ccc.jpg,https://www.vgchartz.com/games/banners/final-fantasy-vii_banner35.jpg
86,"Mario Kart 64",N64,1997,Racing,"Nintendo  ","Nintendo EAD  ",8.5,0,5.55,1.94,2.23,0.15,9.87,https://www.vgchartz.com/games/boxart/full_8835641AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/mario-kart-64_banner48.png
87,"Super Smash Bros. for 3DS",3DS,2014,Fighting,"Nintendo  ","Bandai Namco Games  ",8.4,0,3.73,1.5,2.55,0.54,8.32,https://www.vgchartz.com/games/boxart/full_4463374AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/439531773239ccc.png
88,"Call of Duty 4: Modern Warfare",X360,2007,Shooter,"Activision  ","Infinity Ward  ",9.6,9,5.98,2.39,0.13,0.91,9.41,https://www.vgchartz.com/games/boxart/full_4481633AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/call-of-duty-4-modern-warfare_banner29.jpg
89,"Gran Turismo 2",PS,1999,Racing,"Sony Computer Entertainment  ","Polyphony Digital  ",9.2,0,3.88,3.42,1.69,0.5,9.49,https://www.vgchartz.com/games/boxart/45196ccc.jpg,https://www.vgchartz.com/games/banners/gran-turismo-2_banner67.jpg
90,"Wii Party",Wii,2010,Misc,"Nintendo  ","Nd Cube Co., Ltd.  ",7,0,1.75,3.51,2.49,0.66,8.41,https://www.vgchartz.com/games/boxart/full_wii-party_1AmericaFront.jpg,https://www.vgchartz.com/games/banners/wii-party_banner30.jpg
