Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,card_image,full_image
79,NBA Live,Series,1994,Sports,EA Sports  ,EA Canada  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_5143352AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/278863226224ccc.png
80,Terraria,Series,2011,Action-Adventure,505 Games  ,Re-Logic  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_7749058AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/7834994226294ccc.png
81,Terraria,All,2011,Platform,Re-Logic  ,Re-Logic  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_9847529AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/1278338227443ccc.png
82,Tom Clancy's Ghost Recon,Series,2001,Shooter,Ubisoft  ,Red Storm Entertainment  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_9251687AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/6280942226318ccc.png
83,Spider-Man,Series,1982,Action-Adventure,Parker Brothers  ,Parker Brothers  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_9139038AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/9623286226323ccc.png
84,The Witcher 3: Wild Hunt,All,2015,Role-Playing,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_3930956AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/336981227681ccc.png
85,Brain Age,Series,2006,Puzzle,Nintendo  ,Nintendo  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_7634300AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3028153226189ccc.png
86,Football Manager,Series,2004,Simulation,Sega  ,Sports Interactive  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_9222919AmericaFrontccc.png,https://www.vgchartz.com/games/banners/3152486226079ccc.png
87,Minecraft,PC,2010,Misc,Mojang  ,Mojang AB  ,10.0,,,,,,,https://www.vgchartz.com/games/boxart/full_minecraft_1AmericaFront.png,https://www.vgchartz.com/games/banners/minecraft_banner31.jpg
88,Wii Sports Resort,Wii,2009,Sports,Nintendo  ,Nintendo EAD  ,8.0,8.8,15.61,10.99,3.29,3.02,32.9,https://www.vgchartz.com/games/boxart/full_7295041AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/wii-sports-resort_banner35.jpg
89,Half-life,Series,1998,Shooter,Sierra Studios  ,Valve  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_8891851AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/9860783226174ccc.png
90,Kingdom Hearts,Series,2002,Role-Playing,Square  ,Square  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_221036AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/6830350226236ccc.png
91,Saints Row,Series,2006,Sandbox,THQ  ,Volition  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_3958597AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/6528708226310ccc.png
92,Souls,Series,2009,Role-Playing,Atlus  ,From Software  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_2022224AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/1584080226158ccc.png
93,Pokémon Red / Green / Blue Version,GB,1998,Role-Playing,Nintendo  ,Game Freak  ,9.4,,11.27,8.89,10.22,1.0,31.37,https://www.vgchartz.com/games/boxart/full_6442337AmericaFrontccc.png,https://www.vgchartz.com/games/banners/pokemon-red-green-blue-version_banner56.jpg
